id,state,year,quarter,transaction_type,transaction_count,transaction_amount
332,arunachal-pradesh,2020,3,"Peer-to-peer payments",370418,2361603431.37578
333,arunachal-pradesh,2020,3,"Merchant payments",72736,88145178.69272713
334,arunachal-pradesh,2020,3,"Financial Services",1761,4030599.9171272423
335,arunachal-pradesh,2020,3,Others,3005,2695539.3607389224
336,arunachal-pradesh,2020,4,"Peer-to-peer payments",522019,3254744938.4105625
337,arunachal-pradesh,2020,4,"Recharge & bill payments",513895,152389181.21743062
338,arunachal-pradesh,2020,4,"Merchant payments",167387,156682926.02384603
339,arunachal-pradesh,2020,4,"Financial Services",1749,2391651.8783250954
340,arunachal-pradesh,2020,4,Others,4079,4055324.315454754
341,arunachal-pradesh,2021,1,"Peer-to-peer payments",566209,3460488558.9436507
342,arunachal-pradesh,2021,1,"Recharge & bill payments",450649,142358376.9003836
343,arunachal-pradesh,2021,1,"Merchant payments",155966,204958020.0891498
344,arunachal-pradesh,2021,1,"Financial Services",1558,2672460.4740365944
345,arunachal-pradesh,2021,1,Others,3074,3301662.6094231335
346,arunachal-pradesh,2021,2,"Peer-to-peer payments",762946,4000960152.0755496
347,arunachal-pradesh,2021,2,"Recharge & bill payments",556680,165579844.25105897
348,arunachal-pradesh,2021,2,"Merchant payments",243375,283709438.5363142
349,arunachal-pradesh,2021,2,"Financial Services",1582,2761076.7934988844
350,arunachal-pradesh,2021,2,Others,3755,3415105.3379601175
351,arunachal-pradesh,2021,3,"Peer-to-peer payments",986088,5033603845.032885
352,arunachal-pradesh,2021,3,"Recharge & bill payments",600102,187390578.30403775
353,arunachal-pradesh,2021,3,"Merchant payments",314658,449869060.7842621
354,arunachal-pradesh,2021,3,"Financial Services",1934,3348547.8272713376
355,arunachal-pradesh,2021,3,Others,4185,3912143.3503634185
356,arunachal-pradesh,2021,4,"Peer-to-peer payments",1227616,6022733378.120082
357,arunachal-pradesh,2021,4,"Recharge & bill payments",633248,207784816.33218512
358,arunachal-pradesh,2021,4,"Merchant payments",521447,704195694.9939187
359,arunachal-pradesh,2021,4,"Financial Services",2386,3933557.2795471298
360,arunachal-pradesh,2021,4,Others,5901,4862905.885615055
361,arunachal-pradesh,2022,1,"Peer-to-peer payments",1403584,6670641250.45945
362,arunachal-pradesh,2022,1,"Merchant payments",720803,917155358.7177179
363,arunachal-pradesh,2022,1,"Recharge & bill payments",670576,231933129.00412333
364,arunachal-pradesh,2022,1,"Financial Services",3053,3359625.792926075
365,arunachal-pradesh,2022,1,Others,6052,5002264.113148138
366,arunachal-pradesh,2022,2,"Peer-to-peer payments",1751568,7627061474.687715
367,arunachal-pradesh,2022,2,"Merchant payments",1108353,1255513517.3639429
368,arunachal-pradesh,2022,2,"Recharge & bill payments",688770,241162643.19480157
369,arunachal-pradesh,2022,2,"Financial Services",2466,4063469.0998270046
370,arunachal-pradesh,2022,2,Others,5768,3864269.879579009
371,arunachal-pradesh,2022,3,"Peer-to-peer payments",1967086,7365427284.274204
372,arunachal-pradesh,2022,3,"Merchant payments",1316326,1413247143.4889917
373,arunachal-pradesh,2022,3,"Recharge & bill payments",649322,238448083.80779752
374,arunachal-pradesh,2022,3,"Financial Services",1997,4763324.776043448
